ip_dst,ip_len,ip_proto,ip_src,ip_time,ip_ttl,tcp_dport,tcp_flag,tcp_sport
192.168.221.11,1438,6,142.250.204.100,1665372721.2469635,54,51406,A,443
192.168.221.11,2871,6,142.250.204.100,1665372721.2472599,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.247547,64,443,A,51406
192.168.221.11,52,6,142.250.204.100,1665372721.2477615,54,51406,A,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2480412,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2483356,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2486277,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.248914,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.2491422,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2494254,64,443,A,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.2496495,54,51406,A,443
192.168.221.11,2824,6,142.250.204.100,1665372721.24994,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2502687,64,443,A,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.250502,54,51406,A,443
192.168.221.11,2824,6,142.250.204.100,1665372721.2508163,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2511103,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.251331,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2516963,64,443,A,51406
192.168.221.11,1640,6,142.250.204.100,1665372721.2519224,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.252209,64,443,A,51406
192.168.221.11,52,6,142.250.204.100,1665372721.252431,54,51406,A,443
142.250.204.100,1438,6,192.168.221.11,1665372721.2526526,64,443,A,51406
142.250.204.100,410,6,192.168.221.11,1665372721.252934,64,443,PA,51406
192.168.221.11,52,6,142.250.204.100,1665372721.2532141,54,51406,A,443
142.250.204.100,414,6,192.168.221.11,1665372721.2534518,64,443,PA,51406
142.250.204.100,220,6,192.168.221.11,1665372721.253736,64,443,PA,51406
142.250.204.100,237,6,192.168.221.11,1665372721.254046,64,443,PA,51406
192.168.221.11,52,6,142.250.204.100,1665372721.2543297,54,51406,A,443
192.168.221.11,52,6,142.250.204.100,1665372721.254546,54,51406,A,443
192.168.221.11,753,6,142.250.204.100,1665372721.2552092,54,51406,PA,443
192.168.221.11,825,6,142.250.204.100,1665372721.2554903,54,51406,PA,443
192.168.221.11,123,6,142.250.204.100,1665372721.2558713,54,51406,PA,443
192.168.221.11,83,6,142.250.204.100,1665372721.2561479,54,51406,PA,443
192.168.221.11,91,6,142.250.204.100,1665372721.2564251,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2567222,64,443,A,51406
192.168.221.11,84,6,142.250.204.100,1665372721.2569375,54,51406,PA,443
192.168.221.11,83,6,142.250.204.100,1665372721.2572136,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2574914,64,443,A,51406
142.250.204.100,91,6,192.168.221.11,1665372721.2577157,64,443,PA,51406
192.168.221.11,757,6,142.250.204.100,1665372721.25803,54,51406,PA,443
192.168.221.11,821,6,142.250.204.100,1665372721.258325,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2586074,64,443,A,51406
192.168.221.11,84,6,142.250.204.100,1665372721.2588332,54,51406,PA,443
192.168.221.11,83,6,142.250.204.100,1665372721.259111,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.2593863,64,443,A,51406
192.168.221.11,144,6,142.250.204.100,1665372721.2596009,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2598763,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2601678,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.260455,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2607443,54,51406,A,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2610397,54,51406,PA,443
192.168.221.11,4210,6,142.250.204.100,1665372721.2613325,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2616296,64,443,A,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.2618668,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2630646,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.263374,64,443,A,51406
192.168.221.11,1359,6,142.250.204.100,1665372721.2636175,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2639115,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.264199,64,443,A,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.2644231,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2647204,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2650118,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.265251,54,51406,PA,443
142.250.204.100,52,6,192.168.221.11,1665372721.265543,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.265768,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2660935,64,443,A,51406
192.168.221.11,2824,6,142.250.204.100,1665372721.2663271,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2666383,64,443,A,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.2669854,54,51406,PA,443
192.168.221.11,1438,6,142.250.204.100,1665372721.2674217,54,51406,A,443
142.250.204.100,52,6,192.168.221.11,1665372721.2677522,64,443,A,51406
192.168.221.11,1438,6,142.250.204.100,1665372721.2681844,54,51406,A,443
192.168.221.11,1485,6,142.250.204.100,1665372721.2685409,54,51406,PA,443
